,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efni/Subject:,Talnaefni Orkustofnunar / Orkustofnun Data Repository,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titill/Title:,Efnahagslegur ávinningur af nýtingu jarðvarma í stað olíu til húshitunar á Íslandi/ Economic benefits of using geothermal energy instead of oil for space heating in Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lykilorð/Keyword:,"Jarðvarmi, jarðhiti, hitaveita, húshitun olía, olíukynding, sparnaður / Geothermal energy, district heating, space heating, oil, oil heating, avoided cost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auðkenni/Identifier:,OS-2019-T010-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Útgáfudagur/Date:,10/8/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Síðast uppfært/Last edition:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Höfundur/Creator:,Orkustofnun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tímabil/Period:,1.1.1914-31.12.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilvísun:,Orkustofnun (2019). OS-2019-T010-01: Efnahagslegur ávinningur af nýtingu jarðvarma í stað olíu til húshitunar á Íslandi [tölvuskjal].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,Orkustofnun (2019). OS-2019-T010-01: Economic benefits of using geothermal energy instead of oil for space heating in Iceland [data file].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tafla 1: Efnahagslegur ávinningur af nýtingu jarðvarma í stað olíu til húshitunar á Íslandi. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Frekari upplýsingar má finna í skýrslunni: Efnahagslegur samanburður húshitunar með jarðhita og olíu árin 1970-2009 (http://www.os.is/gogn/Skyrslur/OS-2010/OS-2010-04.pdf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: Economic benefits of using geothermal energy instead of oil for space heating in Iceland. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Further information can be found in:  http://www.os.is/gogn/Skyrslur/OS-2010/OS-2010-04.pdf (In Icelandic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ár,Nýttur jarðvarmi,Sala hitaveitna  ,Kostnaður olíukyndingar,Sparnaður,Uppsafnaður sparnaður,Núvirtur uppsafnaður sparnaður með 2% raunávöxtun,Sparnaður sem hluti af vergri landsframleiðslu,Sparnaður á íbúa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year, Geothermal use ,Utility revenues for hot water,Cost of oil heating,Avoided cost,Accumulated avoided cost,Present value accumulated avoided cost with 2% interest,Avoided cost as percentage of GDP,Avoided cost per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[PJ],[milljarðar ISK/billions ISK],,,,,%,[þús. ISK/thousands ISK],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Á verðlagi 2018/2018 prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,0.0 ,0.1 ,0.3 ,0.2 ,0.2 ,0.2 ,0.5%,2.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,0.1 ,0.1 ,0.3 ,0.2 ,0.4 ,0.4 ,0.5%,2.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
