,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efni/Subject:,Talnaefni Orkustofnunar / Orkustofnun Data Repository,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titill/Title:,Frumorkunotkun á Íslandi 1940-2020/Primary Energy Use in Iceland 1940-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lykilorð/Keyword:,"Frumorka, vatnsafl, jarðhiti, olía, kol, mór, endurnýjanleg orka/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Primary energy, hydropower, geothermal, oil, coal, peat, renewable energy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auðkenni/Identifier:,OS-2021-T008-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Útgáfudagur/Date:,5/27/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Síðast uppfært/Last edition:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Höfundur/Creator:,Orkustofnun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tímabil/Period:,1.1.1940-31.12.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilvísun:,Orkustofnun (2021). OS-2021-T008-01: Frumorkunotkun á Íslandi 1940-2020 [tölvuskjal].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,Orkustofnun (2021). OS-2021-T008-01: Primary Energy Use in Iceland 1940-2020 [data file].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tafla 1:  Frumorkunotkun á Íslandi 1940-2020.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: Primary Energy Use in Iceland 1940-2020.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ár,Vatnsafl,Jarðhiti,Olía,Kol,Mór,Vindur,Endurnýjanlegt eldsneyti,Samtals,Hlutdeild   endurnýjanlegra orkugjafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Hydropower,Geothermal,Oil,Coal,Peat,Wind,Renewable fuels,Total,Renewables %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
